leagues,outcomes,edge_min,sel_n,sel_roi,hld_n,hld_roi,hld_win,hld_per_season
E0+G1+N1+P1,all,0.18,826,0.05425386943270079,373,0.13313784399040288,0.6219839142091153,53.285714285714285
E1+F1+I1,draw,0.08,1108,8.878398011972016e-05,546,0.13307043135510782,0.2857142857142857,78.0
E1+F1+I1,draw,0.05,1108,8.878398011972016e-05,546,0.13307043135510782,0.2857142857142857,78.0
D1+G1+I1+P1,away,0.12,748,-0.02300885947092688,575,0.13278526853733216,0.5547826086956522,82.14285714285714
E1+F1+T1,draw,0.05,1072,0.04923877631932705,528,0.1318813795308298,0.2840909090909091,75.42857142857143
E1+F1+T1,draw,0.08,1072,0.04923877631932705,528,0.1318813795308298,0.2840909090909091,75.42857142857143
G1+N1+P1,all,0.18,567,0.065296007918019,315,0.1318599862704518,0.6444444444444445,45.0
E0+E1+I1+T1,draw,0.1,889,0.010264597635338907,461,0.13181457452150633,0.3036876355748373,65.85714285714286
E0+E1+F1+T1,draw,0.1,948,0.02910993522326288,351,0.13159648310855698,0.28774928774928776,50.142857142857146
B1+P1,away,0.12,333,-0.020530219607469077,302,0.13146182457615105,0.5331125827814569,43.142857142857146
F1+G1+I1+T1,draw,0.05,1231,-0.021853338379403547,869,0.13122011539807865,0.30149597238204834,124.14285714285714
F1+G1+I1+T1,draw,0.08,1231,-0.021853338379403547,869,0.13122011539807865,0.30149597238204834,124.14285714285714
E0+E1+G1,home+draw,0.15,775,0.0633222305300507,360,0.1311299591838329,0.5916666666666667,51.42857142857143
P1+T1,away,0.12,423,-0.011452969584968012,334,0.13104465692185763,0.5538922155688623,47.714285714285715
E0+P1+SC0+T1,home,0.15,883,0.03809156729783056,409,0.13066848446514104,0.687041564792176,58.42857142857143
E0+E1+I1+T1,home+draw,0.15,1142,0.002009641205673682,437,0.1306533723213612,0.5766590389016019,62.42857142857143
E1+I1,draw,0.08,690,-0.0004898823155811039,411,0.13042653348350644,0.30170316301703165,58.714285714285715
E1+I1,draw,0.05,690,-0.0004898823155811039,411,0.13042653348350644,0.30170316301703165,58.714285714285715
E0+G1+P1+SC0,all,0.18,806,0.03965439067797264,415,0.13041824787128706,0.6289156626506024,59.285714285714285
I1+N1+T1,draw,0.1,550,-0.043140987992666545,410,0.13037068585871145,0.2975609756097561,58.57142857142857
G1+I1+P1+T1,draw+away,0.15,687,-0.057444912091032176,493,0.1302840645904085,0.5253549695740365,70.42857142857143
D1+E0+E1+T1,home+draw,0.15,1118,0.004209090645424057,474,0.13025772388697673,0.5274261603375527,67.71428571428571
B1+F1+G1+I1,draw,0.1,757,0.005009772469477475,452,0.13021186936394702,0.30973451327433627,64.57142857142857
D1+E0+I1+SP1,draw,0.12,521,-0.20020957410618287,284,0.13013141988381147,0.29577464788732394,40.57142857142857
D1+E0+E1+T1,home,0.15,820,0.01824517906710178,293,0.1301002881738167,0.6621160409556314,41.857142857142854
E0+E1+P1+SC0,home,0.15,744,0.050518785340592884,373,0.12984250428203442,0.6916890080428955,53.285714285714285
E0+F1+I1+T1,draw,0.08,1479,-0.02740878202194722,769,0.12978441908916222,0.28998699609882966,109.85714285714286
E0+F1+I1+T1,draw,0.05,1479,-0.02740878202194722,769,0.12978441908916222,0.28998699609882966,109.85714285714286
E0+P1+T1,home+draw,0.15,946,0.04509137941666829,412,0.12978392374042425,0.6262135922330098,58.857142857142854
B1+G1+I1+P1,away,0.12,670,-0.057064910055238685,595,0.1296620450587748,0.5596638655462185,85.0
F1+N1+T1,draw,0.1,609,-0.008730421043003962,300,0.1296335186089625,0.27666666666666667,42.857142857142854
G1+I1+P1+T1,away,0.12,760,-0.047344788224010635,627,0.12960353248870357,0.569377990430622,89.57142857142857
D1+G1+I1+T1,draw,0.1,714,-0.06884951502084845,585,0.12951131222294682,0.30427350427350425,83.57142857142857
