leagues,outcomes,edge_min,model_prob_min,n_bets,roi,win_rate
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,all,0.25,0.35,677,0.13259366944568335,0.5214180206794683
D1,draw+away,0.25,0.35,65,0.13246884912759707,0.3384615384615385
D1,draw+away,0.25,0.0,65,0.13246884912759707,0.3384615384615385
B1+P1,all,0.2,0.0,424,0.13236740255939627,0.6084905660377359
D1+E0,draw,0.15,0.4,222,0.13228090419384603,0.3108108108108108
B1+D1+E0+E1,draw,0.2,0.4,222,0.13197062080422284,0.3153153153153153
D1+E1,home,0.2,0.4,114,0.13165600583780815,0.631578947368421
P1,draw+away,0.15,0.4,269,0.13163475868686977,0.516728624535316
P1,away,0.15,0.45,191,0.13161301643807558,0.5968586387434555
D1+E0+E1,draw,0.2,0.4,180,0.13121109692785624,0.31666666666666665
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,all,0.25,0.0,679,0.13110164028303836,0.5198821796759941
B1+D1+E0+E1,home,0.2,0.0,360,0.13077886289892454,0.6194444444444445
D1,all,0.2,0.45,149,0.1303016045528662,0.436241610738255
B1+D1+E0+P1,home,0.2,0.0,416,0.13019943235141435,0.6298076923076923
B1+D1+E0+E1,home,0.2,0.35,346,0.12984911048811126,0.638728323699422
E0+E1,home,0.2,0.4,163,0.1293908914293592,0.6257668711656442
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,all,0.25,0.45,651,0.1289908716498546,0.5360983102918587
D1+E0+SP1,draw,0.25,0.45,92,0.12888256225179112,0.31521739130434784
D1+E0+SP1,draw,0.25,0.35,92,0.12888256225179112,0.31521739130434784
D1+E0+SP1,draw,0.25,0.4,92,0.12888256225179112,0.31521739130434784
D1+E0+SP1,draw,0.25,0.0,92,0.12888256225179112,0.31521739130434784
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,draw+away,0.25,0.35,407,0.12886202991369658,0.42997542997543
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,draw+away,0.25,0.0,407,0.12886202991369658,0.42997542997543
D1+E0+SP1,draw,0.2,0.4,147,0.12865657285132726,0.3129251700680272
D1+E0+E1,draw+away,0.25,0.45,137,0.12826131411104458,0.40145985401459855
D1+E0+E1,draw+away,0.25,0.4,137,0.12826131411104458,0.40145985401459855
D1+E0,draw,0.1,0.4,335,0.12823160398771763,0.31343283582089554
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,all,0.25,0.4,666,0.12803640107388553,0.527027027027027
P1,all,0.15,0.45,576,0.1280082840132989,0.6423611111111112
D1+E0+SP1,home,0.2,0.4,194,0.1277814988961765,0.6082474226804123
B1+D1+E0+P1,home,0.2,0.35,404,0.12735728472805244,0.6435643564356436
P1,draw,0.15,0.4,69,0.126613819603825,0.3188405797101449
D1+E0+SP1,home,0.2,0.0,234,0.12628760219710566,0.5256410256410257
B1+D1+E0+P1,draw+away,0.2,0.4,370,0.12625593810405633,0.44324324324324327
D1+E0,draw,0.08,0.45,184,0.12625541628940232,0.30978260869565216
D1+E0,draw,0.1,0.45,184,0.12625541628940232,0.30978260869565216
D1+E0,draw,0.15,0.45,184,0.12625541628940232,0.30978260869565216
B1+D1+E0+E1,away,0.25,0.45,50,0.12578444946004466,0.6
E0+E1,home,0.2,0.0,173,0.12512576004047646,0.5953757225433526
P1,all,0.15,0.35,623,0.12507318589942032,0.6131621187800963
B1,home,0.25,0.0,44,0.12485052760449271,0.75
B1,home,0.25,0.4,44,0.12485052760449271,0.75
B1,home,0.25,0.35,44,0.12485052760449271,0.75
B1,home,0.25,0.45,44,0.12485052760449271,0.75
D1+E0+E1+N1,home,0.2,0.4,270,0.1242675595119578,0.6
D1+E0+E1,draw+away,0.25,0.0,138,0.12369352774935097,0.39855072463768115
D1+E0+E1,draw+away,0.25,0.35,138,0.12369352774935097,0.39855072463768115
D1+E0,draw,0.08,0.4,338,0.12336544496010318,0.3106508875739645
D1+E0+E1,draw,0.2,0.35,182,0.12253103559981789,0.3131868131868132
E1,home,0.2,0.45,65,0.12235381981340548,0.6615384615384615
E1,home,0.2,0.4,65,0.12235381981340548,0.6615384615384615
P1,home,0.15,0.45,326,0.12189586409363237,0.7239263803680982
E0,all,0.25,0.45,56,0.12178055200933566,0.5178571428571429
E0,home,0.2,0.35,101,0.12149166522572094,0.5841584158415841
P1,home,0.2,0.45,122,0.1214074288192165,0.6721311475409836
D1+E1,all,0.2,0.35,331,0.12108929864070603,0.4501510574018127
B1+D1+E0+E1,draw,0.2,0.35,225,0.12095704520178364,0.3111111111111111
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,home,0.25,0.45,254,0.12048071040903045,0.6889763779527559
B1+D1+E0+P1,all,0.2,0.4,759,0.12045610127930363,0.5546772068511199
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,draw,0.25,0.45,208,0.12027928842680849,0.3173076923076923
P1,all,0.15,0.4,605,0.11958985460234624,0.6214876033057851
B1,all,0.2,0.45,200,0.11958576718567904,0.63
E0+E1,home,0.2,0.35,167,0.11936936739096879,0.6107784431137725
B1+D1+E0+P1,all,0.2,0.35,785,0.11932479913207429,0.5401273885350318
B1+D1+E0+P1,all,0.2,0.0,800,0.11925051865975493,0.5325
B1+D1+E0+P1,all,0.2,0.45,734,0.11903226333173329,0.5667574931880109
B1+D1+E0+E1+F1+I1+N1+P1+SP1+T1,home,0.25,0.4,264,0.11901461255302481,0.6666666666666666
B1+D1+E0+E1,home,0.2,0.4,330,0.11869031136144126,0.6606060606060606
P1,home,0.15,0.35,344,0.1184001072136284,0.6976744186046512
D1+E0,draw,0.15,0.35,238,0.11838773221381514,0.3025210084033613
E0+E1,home,0.2,0.45,156,0.11835894522052408,0.6474358974358975
D1,home,0.15,0.0,194,0.11816366070383007,0.4845360824742268
P1,home,0.15,0.0,345,0.11747546662572775,0.6956521739130435
D1+E1,all,0.2,0.0,340,0.11716491040117298,0.4411764705882353
