leagues,outcomes,edge_min,sel_bets,sel_roi,hld_bets,hld_roi
D1,draw,0.12,187,0.033544020017172785,129,0.08245586342515801
D1,draw,0.15,113,0.11020764207502082,86,0.04506011740726065
D1,draw,0.18,76,0.06628083678432527,41,0.05307260803437576
D1,draw,0.2,62,0.1360690656862868,27,0.018303760566906115
D1,draw,0.25,41,0.22618000211907738,14,0.5594872354009839
D1,away,0.08,527,0.04294102490501367,274,-0.08748088406425994
D1,away,0.1,349,0.02950928078090871,185,-0.1355670871272429
D1,away,0.12,222,-0.008791146676388974,116,-0.05004818419200526
D1,away,0.15,101,-0.014154032039422679,45,0.1694028241953457
D1,away,0.18,47,0.11616521643352855,24,0.18168464118654024
D1,away,0.2,21,-0.11873400282566142,11,-0.22903395611504715
D1,home+draw,0.08,1082,0.04914059978114925,531,0.029698644912956346
D1,home+draw,0.1,771,0.048158873570170534,349,0.021584489156637347
D1,home+draw,0.12,565,0.04336101039109819,226,0.025101013030460743
D1,home+draw,0.15,332,0.04282503404883713,121,0.05026127597786521
D1,home+draw,0.18,195,-0.027174930248377534,51,-0.06096620096903538
D1,home+draw,0.2,138,0.002602033329554758,32,-0.06187008091969042
D1,home+draw,0.25,65,0.07330274651013798,16,0.4190593386365652
D1,draw+away,0.08,898,0.018771689995721815,541,-0.029400865780857436
D1,draw+away,0.1,610,0.022055490796121027,360,-0.043315347923741726
D1,draw+away,0.12,409,0.011785043145057848,245,0.01648743306552444
D1,draw+away,0.15,214,0.055989366886216016,131,0.0937319321546873
D1,draw+away,0.18,123,0.08348291794592867,65,0.10555630073432903
D1,draw+away,0.2,83,0.07633758807241825,38,-0.05524087122451892
D1,draw+away,0.25,46,0.1647725774796662,17,0.5005882957545559
E0,all,0.08,1974,0.0010154196614226806,1031,0.04332383508139269
E0,all,0.1,1440,0.006292183042941677,698,0.0177941945519432
E0,all,0.12,1032,-0.005967623417120692,458,0.04049665735520127
E0,all,0.15,584,0.005299693156146665,206,0.0072518548841833015
E0,all,0.18,289,-0.0162465550835053,78,0.014716511708123145
E0,all,0.2,188,-0.005718146773888981,43,0.0732269916003446
E0,all,0.25,58,0.2239036929531482,11,0.4859876132005556
E0,home,0.08,1031,0.01969436955672018,442,0.09361347149061866
E0,home,0.1,777,0.013527730933251022,294,0.036119769735366125
E0,home,0.12,570,-0.0027047154286071787,183,0.07346191152822015
E0,home,0.15,330,0.0011106073749006212,59,0.08832989434518108
E0,home,0.18,162,-0.006317989383854676,19,0.050748878389255125
E0,home,0.2,104,-0.040463697499264435,8,0.183499202169487
E0,home,0.25,26,0.2351683305368107,0,0.0
E0,draw,0.08,489,-0.03135104279670547,116,-0.054383688263190684
E0,draw,0.1,340,-0.04359853791034316,74,-0.13015626195138344
E0,draw,0.12,236,-0.0231123169353556,41,-0.10341712545560044
E0,draw,0.15,129,0.029141286416714252,25,-0.12451969422699635
E0,draw,0.18,62,0.010591657006518663,17,0.1340993503421673
E0,draw,0.2,45,-0.007494897515113132,14,0.2970297789929603
E0,away,0.08,454,-0.026952067241424665,473,0.007296077979784595
E0,away,0.1,323,0.023113538297605794,330,0.024046795801490793
E0,away,0.12,226,-0.002874638589148418,234,0.03318432024781318
E0,away,0.15,125,0.0004580265611728026,122,-0.010537269825769876
E0,away,0.18,65,-0.06545576657583209,42,-0.03535130830483374
E0,away,0.2,39,0.10523320295944824,21,-0.06538302312594514
E0,home+draw,0.08,1520,0.008627027454542737,558,0.07244325726660356
E0,home+draw,0.1,1117,0.0017939478040398798,368,0.012464621429153064
E0,home+draw,0.12,806,-0.006768658542876635,224,0.04783007428156532
E0,home+draw,0.15,459,0.006506068386710596,84,0.03380921073510756
E0,home+draw,0.18,224,-0.0031179768264323606,36,0.0868954218144865
E0,home+draw,0.2,149,-0.033578856168218846,22,0.25333588079795233
E0,home+draw,0.25,44,0.26050032333211637,8,0.3081850328902915
E0,draw+away,0.08,943,-0.028902600932099468,589,-0.001978617455218495
E0,draw+away,0.1,663,-0.005867719971099224,404,0.0019910100647520727
E0,draw+away,0.12,462,-0.011671627912985368,275,0.0159380753933819
E0,draw+away,0.15,254,0.012959056180196219,147,-0.027229924198263013
E0,draw+away,0.18,127,-0.03389805680796812,59,0.0038348820409596363
E0,draw+away,0.2,84,0.05405026968310256,35,0.051059722078307106
E0,draw+away,0.25,32,0.21218809524868446,11,0.4859876132005556
E1,all,0.08,1759,-0.006329946542768752,807,0.019482624003833843
